contrast_ext,previous_response_ext,contrast_int,previous_response_int,AA,AB,BA,BB
7.364315066491453,12.477999096366279,1.6396207301717336,-0.4546329653456275,-0.215841239567868,-1.639192373017208,-1.1200928081358783,-0.3948954363267787
7.392637393786955,12.537027816720162,1.6393981933103277,-0.4541066283749754,-0.2157295591892559,-1.6396560925220984,-1.1199789556675985,-0.394950571650514
7.358384024615362,12.46551843791512,1.6395269150741218,-0.454540266281109,-0.3948640972230275,-1.1201575308392082,-1.6392439807916,-0.21582880737665372
7.39076877856611,12.533020608707071,1.6393610006865151,-0.45406747119551233,-0.21572431236422637,-1.6396778849636162,-1.120000526748023,-0.39494012471006684
7.369604237012831,12.488986064105525,1.6396977034216185,-0.45470901593808066,-0.3949224798055406,-1.1200369619169805,-1.6391484090348016,-0.21585183101563835
7.363065886754997,12.475296728426448,1.6395974980884174,-0.454609884397824,-0.21583833954326703,-1.639204411131683,-1.1201072566858583,-0.3948884399950854
7.402915231221508,12.55832064680457,1.6395833065996412,-0.45432449712896805,-0.39513573690118686,-1.1195967368136848,-1.638525021929541,-0.21600207460937795
7.399550427315917,12.551334070281158,1.6396101943306658,-0.4543744917643556,-0.39500701337103516,-1.1198624254627818,-1.639457197229343,-0.215777452477848
7.402513701533751,12.55751190798322,1.639578462583002,-0.4543195835504208,-0.21600137276954226,-1.6385279328655984,-1.11960055836327,-0.3951338850381963
7.401842868720734,12.556160751254943,1.6395703733850813,-0.45431138170995167,-0.39513079034766646,-1.119606944690435,-1.638532791146419,-0.21600020142173273
