stim*contrast_ext,previous_ext,bias_ext,stim*contrast_int,previous_int,bias_int,AA,AB,BA,BB
4.889059279508123,2.994453624524618,1.9457126273153804,2.946652806947997,5.053565065669434,1.9124289453643977,-0.11565014971378429,-2.2144534428412515,-2.3132320545519094,-0.10418448708602854
4.878579045733777,2.994287606212732,1.9408669958707925,2.9456844970401845,5.057020710307797,1.9142777268737416,-0.11582195399767922,-2.2130532389338087,-2.3165673196703023,-0.10381893457693118
4.879196247708503,2.995376646740271,1.9428353200007822,2.9441508430432513,5.055432976730377,1.914256826234318,-0.1038206228969558,-2.3165518871993807,-2.2128115064744738,-0.11585164179219398
4.880716142182701,2.9939660570066664,1.9412775190961944,2.9467605354309137,5.058699332089979,1.9146038033405475,-0.11586785238999704,-2.2126795395935583,-2.315617443440013,-0.10392290539536389
4.90135319733092,2.993474005676143,1.9492930078782096,2.9474151507807447,5.047171829580838,1.9092348966157455,-0.10462892534614313,-2.3091936030769094,-2.216943701530984,-0.11534526269917869
4.8926354552226465,2.993049044586613,1.9445980422244151,2.947256883293507,5.0524962339423904,1.9118971378489906,-0.11556377536726223,-2.215158225569017,-2.3118727468735267,-0.10433385875719649
4.896377873350882,2.993382509594368,1.9469905777481071,2.94736051046209,5.050275315073961,1.9107024382797053,-0.11546808291461105,-2.215939692188342,-2.31077874183816,-0.10445424062721363
4.881840464158318,2.9935989155698195,1.9410278880465135,2.9461078784959325,5.056002112647608,1.9138337829748526,-0.10394425923336889,-2.315422478866682,-2.2136179904552917,-0.11575262678293809
4.880091343548831,2.9943701714712794,1.9417084550462125,2.9457147447651053,5.056259353956073,1.9139154137552004,-0.11580903266723784,-2.21315847118564,-2.3159550802846307,-0.10388593605030864
4.8903498732247845,2.9941398303953255,1.9453989494224877,2.946459458220433,5.051876086094544,1.911680090297104,-0.11558658264046746,-2.2149720724689237,-2.312805770739339,-0.10423130633132466
