stim*contrast,previous
-2.196363949137772,-2.340037955353706
-2.196363437125475,-2.340038369324195
-2.196260652904653,-2.3399403681823996
-2.1963478398938387,-2.3400225076119834
-2.1963665185711543,-2.3400413909325217
-2.1963612895904547,-2.340036237429576
-2.1940413797517793,-2.3378056152339775
-2.1963586222219185,-2.34003300571686
-2.1963540626341334,-2.3400265588960854
-2.196358359694108,-2.340033415886444
-2.1963667347583486,-2.340041628293981
-2.1951149009401383,-2.3388513551201724
-2.1942296915226134,-2.3381623333500747
-2.196368828770974,-2.3400440220959497
-2.1963632839818277,-2.340038297292356
-2.195862482725452,-2.3395690963879554
-2.196358370088477,-2.3400326123926307
-2.196296898152632,-2.339974891050458
-2.19506574707365,-2.3389795647644247
-2.1957217509689175,-2.3394384244980513
-2.1942798348596306,-2.3379373992425725
-2.1963666633597803,-2.340043644244145
-2.196322745055504,-2.3399962966299084
-2.1963508487810652,-2.340025563783371
-2.19636726114417,-2.3400424318702244
-2.196359761549696,-2.340034271465375
-2.1963556861967475,-2.3400306345890796
-2.1963525689546093,-2.3400275620509765
-2.1955276226115013,-2.3384698117468474
-2.1961361077132837,-2.3398251249355626
-2.1948954029810177,-2.338735506380221
-2.1963714379408836,-2.3400472978928195
-2.196358528106561,-2.3400331909976955
-2.1963727644278004,-2.3400473879156336
-2.196368101074338,-2.340042750751392
-2.196325422312377,-2.3400014458212617
-2.196371917599217,-2.34004742878816
-2.1956322476149412,-2.339352885607496
-2.1954656917477107,-2.3391780822359474
-2.196364923315808,-2.34004017294283
-2.195606660936432,-2.3393231340519893
-2.195969455418454,-2.3396666509912434
-2.1963657517412734,-2.3400409764122942
-2.19529302746991,-2.338959140426666
-2.1963500227733603,-2.340025117748174
-2.1963657874711924,-2.3400403433524204
-2.1963649231790594,-2.3400394038237544
-2.196365811755894,-2.340040576284683
-2.1960941215989127,-2.3397897172467137
-2.1963582749116126,-2.340032968904934
-2.196277576099761,-2.3399527073176696
-2.196165069884322,-2.3398557880480393
-2.1963340471366126,-2.3400061884777092
-2.1958772355223677,-2.339584636243232
-2.195133606444449,-2.3389407997938196
-2.1963525031369575,-2.340030110598444
-2.1953255744193396,-2.3389901425704736
-2.1945885872911695,-2.338327115956528
-2.1963389801582145,-2.3400180327457285
-2.1963515877747053,-2.340026613031529
-2.196350185661665,-2.34002724946112
-2.1963502299420363,-2.340025032973052
-2.1950238167536535,-2.33876388289293
-2.1959063206589677,-2.3396093006508396
-2.196360884152975,-2.34003561842578
-2.196342690278126,-2.340022625064505
-2.1963516062857136,-2.340026576822103
-2.1949972588325797,-2.3387399680909096
-2.195361959831311,-2.3390324021585305
-2.1950311683287516,-2.3387015293633926
-2.1939829627558938,-2.3375968814613035
-2.1953918956799514,-2.3395440793355964
-2.1958073612464375,-2.3394765998764027
-2.1953040824402286,-2.3390369901319654
-2.1959625496672928,-2.3396215616034666
-2.1953100424715064,-2.3389845539427374
-2.1950072195680197,-2.338633462127672
-2.1963694622543173,-2.3400442913866377
-2.195577294149277,-2.3392998020875777
-2.195369388843896,-2.3391390548364708
-2.196355970794847,-2.340030141252196
-2.196358658664117,-2.3400333703220317
-2.195192485338064,-2.3388439620525685
-2.1963215200603123,-2.3399964195064498
-2.195545301889673,-2.338617346114339
-2.1963538268312717,-2.340028666994621
-2.1963557018436908,-2.3400320001672257
-2.1963691946392183,-2.340044505527992
-2.196368691368768,-2.340043465521017
-2.1959639759224405,-2.3396186537743744
-2.1963647298371205,-2.340039717444689
-2.196341662733854,-2.3400153881891215
-2.1963469963332747,-2.3400199396969303
-2.196181317681401,-2.3398567073634866
-2.196368122987354,-2.340042514620801
-2.1963653290948706,-2.340041469698396
-2.195826098152907,-2.339520312043204
-2.196337873019278,-2.340018127142927
-2.1963066655797965,-2.339981245127503
-2.194316045075332,-2.3380742945870696
