theta_ext,prev_resp_ext,theta_int,prev_resp_int,AA,AB,BA,BB
0.05028021140748794,3.463754796964222,0.02334572356729592,-0.08337862361528443,-0.3034794678144802,-1.3403465058592399,-3.015887822437295,-0.05024364632167901
0.023363180539272232,0.21945840881397802,0.011514814698428001,0.2821301476757258,-3.971486036817177e-09,-19.344125436187014,-8.615590999835177,-0.000181274089738253
0.0507429776938969,3.504273811808284,0.023368651030353155,-0.08376252743293311,-0.3067777993380584,-1.3311021855124625,-3.010775659767931,-0.05050777142587239
0.05014011195139901,3.4537729321123836,0.023343742866173047,-0.08359281949739492,-0.3031404010946873,-1.3413034183019317,-3.0151750364232153,-0.050280388003819
0.05074928339185254,3.4981937209127465,0.02335985282788693,-0.08353097094019893,-0.305625189925489,-1.3343194690547002,-3.013049151008067,-0.05039013382940141
0.04979921314032795,3.4290060986144715,0.023336100163649377,-0.08380763377538124,-0.30192899562343145,-1.34473240232878,-3.015325077985102,-0.05027265158575158
0.050103093677484604,3.451906710161712,0.02334202432351756,-0.08336522595448946,-0.05021196381000613,-3.0165028901612065,-1.342011529507325,-0.30288977584759474
0.049884839838106716,3.4363802753369574,0.023336550333397408,-0.08336965895405507,-0.05016981776286767,-3.0173217085239314,-1.3444378319897228,-0.30203284210000825
0.04942008346140679,3.402568239219571,0.023329109681438275,-0.0840833458420933,-0.050283744104322285,-3.015109954933999,-1.3480148856092073,-0.30077459787294564
0.050668054531062254,3.4919222035974284,0.023356661581204505,-0.08345008082516801,-0.050346037128517915,-3.013902776717071,-1.3356355299247091,-0.3051551530737463
