theta_ext,prev_resp_ext,bias_ext,theta_int,prev_resp_int,bias_int,AA,AB,BA,BB
1.036981148008175,0.0542527299434716,0.6828646630331907,0.7819583376931999,0.24663391154255962,-0.6240003270457537,-0.03786038629596815,-3.2927203984712454,-3.7856647103414263,-0.022955239997490474
1.037719102288373,0.057295264683650524,0.6768250363516084,0.7759117064417591,0.2443537037709543,-0.6347211980112647,-0.038548427591072965,-3.2750522672984967,-3.7903786094515732,-0.022846043325318765
1.0366319996760796,0.05046621573205693,0.6927020426936874,0.7880497551825522,0.24550903408604005,-0.618601137334832,-0.037510458727509785,-3.301832089103784,-3.771148915314711,-0.02329482342095356
1.037908026132185,0.05993017404249855,0.6730664026718981,0.7734182124288862,0.23931433907305452,-0.646263665854782,-0.022909463491358733,-3.7876380642510674,-3.2551420542106935,-0.0393390742616618
1.0371702990106522,0.05465459776265282,0.6821377803954577,0.781095483789777,0.24652178474853845,-0.6249988180992151,-0.03792841570193579,-3.290958961523832,-3.786420512999593,-0.022937696485607312
1.0379678302185584,0.05919609591009985,0.673911800199639,0.7737518239519863,0.2409183872299545,-0.6431772147129698,-0.022891345525249136,-3.788420203468869,-3.260139933483004,-0.03913906412064163
1.0367608230001324,0.051139930387945426,0.6912319690608648,0.7873381933007226,0.2454080981646069,-0.6195522997862516,-0.02327087515434889,-3.772165567457146,-3.2981159611900845,-0.03765277412271174
1.0363714050685564,0.051193886017136946,0.6891309632657125,0.7863195098415947,0.24641605955409807,-0.6197339555294265,-0.03762866870620305,-3.2987443920446764,-3.7764264331575004,-0.02317077680297706
1.0366918870114157,0.05073781683591956,0.6923186205987599,0.7881043155910744,0.245491261859171,-0.6183959683577879,-0.02330533444795632,-3.770703034901284,-3.299703862417652,-0.03759189556829002
1.0377354394507763,0.05721689411868071,0.677378762918571,0.77652784103173,0.24359733308999007,-0.6353416928610952,-0.038599721038019764,-3.273748010052224,-3.788429137174596,-0.02289113866299465
