theta,prev_resp
-0.8712676776146702,-0.29058197678849346
-0.8711879559080289,-0.2906218861227398
-0.871271323658438,-0.2906287387813058
-0.8712729572980042,-0.290630631852678
-0.8712734032167754,-0.2906306440994713
-0.8712739104085749,-0.2906308994141332
-0.8712741399039027,-0.29063110756813143
-0.8711581622427083,-0.2905359214695946
-0.8712687934443003,-0.2906269281802643
-0.8712721353046744,-0.2906304894174661
-0.871274009059674,-0.29063097620135425
-0.8712741390629654,-0.29063110735387276
-0.8712677737945284,-0.2906295255984196
-0.8712740172098501,-0.29063103084153796
-0.8712737637426201,-0.29063150529242754
-0.8712739988968421,-0.2906312615552453
-0.8711957536914392,-0.29054881247124575
-0.8712774885981688,-0.2906346282945035
-0.8712718279847809,-0.2906309246196149
-0.8712698818817699,-0.2906272523009735
-0.8712299831557776,-0.2906313077496353
-0.871181953494051,-0.29046952285013583
-0.8712380691275541,-0.29063005437757666
-0.8712709016192994,-0.29063059364272464
-0.8712740939868621,-0.2906310725718055
-0.8712732041893199,-0.2906306984080288
-0.8712740861642431,-0.29063105945492396
-0.871274098749242,-0.29063106641168485
-0.87126750587545,-0.2906262611733945
-0.8712740908799048,-0.29063113179076977
-0.8712715881123815,-0.2906298009789487
-0.8712735327027692,-0.2906308230189201
-0.8712730519811421,-0.2906310894935474
-0.8712730625083559,-0.29063033280518336
-0.8712741464479642,-0.2906311129293422
-0.8712192763574496,-0.2905796240354352
-0.8712724862876207,-0.29063034481762473
-0.8708919150679219,-0.2907132182124528
-0.8712184981708903,-0.29063102328576534
-0.871033540188419,-0.2904640731341395
-0.870867984380549,-0.2904979899462066
-0.8711996600116614,-0.2905613108117802
-0.8712722930469449,-0.2906304447260927
-0.8711136387106798,-0.2904846502114111
-0.8712741272764526,-0.2906311046381043
-0.8712741681856306,-0.29063122426057425
-0.8711994514836253,-0.29061097016996706
-0.8712741668261573,-0.2906312197667484
-0.8712009112380242,-0.29066402000774183
-0.8712737750719272,-0.2906313107602215
-0.8712719525037685,-0.2906292504216976
-0.8712730163191499,-0.29062999372305687
-0.8712472454660949,-0.2906358184948447
-0.8712732955765908,-0.2906308611743782
-0.8712739364013102,-0.29063147732486955
-0.8712718652892496,-0.29062886287819467
-0.8712577273920068,-0.29062315781110903
-0.871271465398625,-0.2906302280946105
-0.8709612124104705,-0.2904351456018141
-0.8712538195138716,-0.2906207983839799
-0.871272861554747,-0.29062996637430616
-0.871273090295556,-0.2906311165317969
-0.8712629875682604,-0.29062377769361897
-0.8713389593783664,-0.29069566777777256
-0.8712676536511564,-0.2906264045573288
-0.8712720103901632,-0.29063296040189235
-0.8712581724928873,-0.29061875476033167
-0.87127041765534,-0.29063336621990493
-0.8712739787026541,-0.29063094975848247
-0.8712739065581164,-0.2906311846540814
-0.8712740603268416,-0.2906311924756451
-0.8712740255874111,-0.29063099351346033
-0.8712695746201157,-0.29062728147265277
-0.871274098265956,-0.2906311407057551
-0.8712736175044306,-0.29063123866251805
-0.8712202614186855,-0.29059343990188247
-0.8712735876362169,-0.2906307943169964
-0.8712739006536733,-0.29063086959225687
-0.8712739683857897,-0.2906309337079494
-0.8711052876074289,-0.29042200411074737
-0.8711856260117438,-0.2905695924230027
-0.8712509128355821,-0.29061424996372487
-0.8712705573570504,-0.290628154608757
-0.8712662948282766,-0.29062834594217984
-0.8712740677544848,-0.29063125055269684
-0.8712725161455486,-0.2906297219299263
-0.8712680688800363,-0.2906361610510995
-0.8712736380234835,-0.29063073062395806
-0.871154328490938,-0.2906427213432177
-0.8712708249795853,-0.2906307757366015
-0.8712740088005629,-0.2906310315336312
-0.8710324835598129,-0.2905180822373747
-0.8712695764164744,-0.2906274305644742
-0.8708387907816023,-0.2904741744587795
-0.8712646318272282,-0.29062533113800754
-0.8712740455432649,-0.2906310848463776
-0.871271693796084,-0.29063089618103655
-0.8712545582474497,-0.2906188489373148
-0.8712720943104368,-0.2906299420849852
-0.8712875438707739,-0.2906457644069589
